Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x104394950>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:14Z,2026-08-10T16:55:14Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x105db9c50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:55Z,2026-08-10T16:55:55Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x105234a50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:32Z,2026-08-10T16:55:32Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x1053ed250>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:38Z,2026-08-10T16:55:38Z
GET,/api/v1/games/recent,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x105e76c50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:56Z,2026-08-10T16:55:56Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x1057e3a50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:46Z,2026-08-10T16:55:46Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x104e15450>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:24Z,2026-08-10T16:55:24Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x10538bc50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:38Z,2026-08-10T16:55:38Z
GET,/api/v1/games/recent,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x105236750>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:32Z,2026-08-10T16:55:32Z
GET,/api/v1/games/history,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x104deb850>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:24Z,2026-08-10T16:55:24Z
GET,/api/v1/users/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x10508fc50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:31Z,2026-08-10T16:55:31Z
GET,/api/v1/games/recent,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x105d04d50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:55Z,2026-08-10T16:55:55Z
GET,/api/v1/games/history,"ConnectTimeoutError(<HTTPConnection(host='localhost', port=8000) at 0x104c69b50>, 'Connection to localhost timed out. (connect timeout=None)')",1,2026-08-10T16:55:23Z,2026-08-10T16:55:23Z
