Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786618435,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786618436,10,,Aggregated,0.000000,0.000000,210,210,210,210,210,210,210,210,210,210,210,15,0,210,149.80932508284846,14.681915752589703,213.4221661835909,2307.133333333333
1786618437,20,,Aggregated,0.000000,0.000000,29,88,120,120,210,210,210,210,210,210,210,57,0,29,71.75913377125796,9.501958265900612,213.4221661835909,2486.964912280702
1786618438,30,,Aggregated,0.000000,0.000000,29,88,120,180,230,240,240,260,260,260,260,97,3,29,77.77947766859968,9.089457802474499,259.1309589333832,2440.175257731959
1786618439,40,,Aggregated,13.000000,0.000000,33,46,100,120,210,230,240,240,260,260,260,160,7,32,66.48372840718366,4.996125120669603,259.1309589333832,2504.8625
1786618440,50,,Aggregated,19.000000,0.000000,31,44,95,120,170,210,240,240,260,260,260,242,9,31,62.23122124590965,4.996125120669603,259.1309589333832,2617.2396694214876
1786618441,50,,Aggregated,27.250000,0.750000,32,41,49,86,150,210,230,240,260,260,260,311,12,32,55.950524128218845,4.996125120669603,259.1309589333832,2678.83922829582
1786618442,50,,Aggregated,35.200000,1.400000,33,42,49,60,130,180,230,240,260,260,260,383,14,33,52.644522742711146,4.996125120669603,259.1309589333832,2790.715404699739
1786618443,50,,Aggregated,40.833333,1.500000,34,44,53,66,120,170,230,240,260,260,260,453,18,34,52.703836366377985,4.996125120669603,259.1309589333832,2856.562913907285
1786618444,50,,Aggregated,47.285714,1.714286,36,47,56,70,120,160,210,230,260,260,260,524,18,36,52.3358067748215,4.996125120669603,259.1309589333832,2963.057251908397
